Localité;;"T05M4E5 [°C]";"T05M4E5 [%HR]"
"Groupe de points de mesure";;;
Zone;;;
"Limite inférieure";;15,0;20,0
10/08/2022;22:00:00;26,2;61,0
10/08/2022;22:15:00;26,1;61,2
10/08/2022;22:30:00;26,1;61,3
10/08/2022;22:45:00;26,1;61,4
10/08/2022;23:00:00;26,0;61,6
10/08/2022;23:15:00;26,0;61,7
10/08/2022;23:30:00;26,0;62,0
10/08/2022;23:45:00;25,9;62,7
11/08/2022;00:00:00;25,8;63,3
11/08/2022;00:15:00;25,7;63,5
11/08/2022;00:30:00;25,8;63,2
11/08/2022;00:45:00;25,8;63,3
11/08/2022;01:00:00;25,6;64,0
11/08/2022;01:15:00;25,5;64,2
11/08/2022;01:30:00;25,2;65,1
11/08/2022;01:45:00;25,0;66,0
11/08/2022;02:00:00;25,3;65,6
11/08/2022;02:15:00;25,4;65,2
11/08/2022;02:30:00;25,4;64,9
11/08/2022;02:45:00;25,4;64,9
11/08/2022;03:00:00;25,4;65,0
11/08/2022;03:15:00;25,4;65,1
11/08/2022;03:30:00;25,3;65,3
11/08/2022;03:45:00;25,2;65,4
11/08/2022;04:00:00;25,2;65,5
11/08/2022;04:15:00;25,2;65,5
11/08/2022;04:30:00;25,1;65,7
11/08/2022;04:45:00;25,0;65,9
11/08/2022;05:00:00;24,9;66,3
11/08/2022;05:15:00;24,8;66,6
11/08/2022;05:30:00;24,8;66,6
11/08/2022;05:45:00;24,7;66,8
11/08/2022;06:00:00;24,5;67,0
11/08/2022;06:15:00;24,4;67,2
11/08/2022;06:30:00;24,4;67,5
11/08/2022;06:45:00;24,3;67,6
11/08/2022;07:00:00;24,3;67,7
11/08/2022;07:15:00;24,3;67,8
11/08/2022;07:30:00;24,3;67,8
11/08/2022;07:45:00;24,2;67,7
11/08/2022;08:00:00;24,2;67,7
11/08/2022;08:15:00;24,3;66,8
11/08/2022;08:30:00;24,2;66,0
11/08/2022;08:45:00;24,3;65,5
11/08/2022;09:00:00;24,3;65,5
11/08/2022;09:15:00;24,3;64,8
11/08/2022;09:30:00;24,3;64,1
11/08/2022;09:45:00;24,3;63,5
11/08/2022;10:00:00;24,4;63,4
11/08/2022;10:15:00;24,4;63,3
11/08/2022;10:30:00;24,5;63,0
11/08/2022;10:45:00;24,5;62,6
11/08/2022;11:00:00;24,6;62,5
11/08/2022;11:15:00;24,7;61,4
11/08/2022;11:30:00;24,8;60,9
11/08/2022;11:45:00;24,9;60,8
11/08/2022;12:00:00;25,0;60,4
11/08/2022;12:15:00;25,0;60,4
11/08/2022;12:30:00;25,0;60,1
11/08/2022;12:45:00;25,2;59,8
11/08/2022;13:00:00;25,2;59,7
11/08/2022;13:15:00;25,2;58,9
11/08/2022;13:30:00;25,3;58,0
11/08/2022;13:45:00;25,2;57,9
11/08/2022;14:00:00;25,4;57,2
11/08/2022;14:15:00;25,7;57,3
11/08/2022;14:30:00;26,0;56,6
11/08/2022;14:45:00;26,2;56,3
11/08/2022;15:00:00;26,1;56,2
11/08/2022;15:15:00;26,2;55,1
11/08/2022;15:30:00;26,3;56,2
11/08/2022;15:45:00;26,4;55,1
11/08/2022;16:00:00;26,4;55,0
11/08/2022;16:15:00;26,3;55,7
11/08/2022;16:30:00;26,1;56,6
11/08/2022;16:45:00;25,9;56,9
11/08/2022;17:00:00;26,0;57,4
11/08/2022;17:15:00;26,0;57,4
11/08/2022;17:30:00;25,9;58,0
11/08/2022;17:45:00;25,7;58,5
11/08/2022;18:00:00;25,6;58,9
11/08/2022;18:15:00;25,5;59,4
11/08/2022;18:30:00;25,4;59,6
11/08/2022;18:45:00;25,4;59,9
11/08/2022;19:00:00;25,3;60,3
11/08/2022;19:15:00;25,3;60,4
11/08/2022;19:30:00;25,3;60,5
11/08/2022;19:45:00;25,2;60,7
11/08/2022;20:00:00;25,1;61,0
11/08/2022;20:15:00;25,2;61,0
11/08/2022;20:30:00;25,1;61,3
11/08/2022;20:45:00;25,0;61,8
11/08/2022;21:00:00;24,9;61,8
11/08/2022;21:15:00;24,8;62,0
11/08/2022;21:30:00;24,8;62,4
11/08/2022;21:45:00;24,7;62,7
11/08/2022;22:00:00;24,7;62,8
11/08/2022;22:15:00;24,7;63,0
11/08/2022;22:30:00;24,6;63,3
11/08/2022;22:45:00;24,5;63,7
11/08/2022;23:00:00;24,4;64,1
11/08/2022;23:15:00;24,4;64,4
11/08/2022;23:30:00;24,3;64,8
11/08/2022;23:45:00;24,3;64,9
12/08/2022;00:00:00;24,2;65,1
12/08/2022;00:15:00;24,2;65,1
12/08/2022;00:30:00;24,2;65,1
12/08/2022;00:45:00;24,2;65,4
12/08/2022;01:00:00;24,2;65,5
12/08/2022;01:15:00;24,1;66,0
12/08/2022;01:30:00;24,1;66,3
12/08/2022;01:45:00;24,0;66,5
12/08/2022;02:00:00;23,9;67,0
12/08/2022;02:15:00;23,8;67,1
12/08/2022;02:30:00;23,8;67,0
12/08/2022;02:45:00;23,8;67,0
12/08/2022;03:00:00;23,7;67,4
12/08/2022;03:15:00;23,7;67,4
12/08/2022;03:30:00;23,6;67,7
