Localité;;"T01M3QR [°C]";"T01M3QR [%HR]"
"Groupe de points de mesure";;;
Zone;;;
"Limite inférieure";;15,0;15,0
04/08/2022;15:30:00;23,7;59,7
04/08/2022;15:45:00;23,8;61,1
04/08/2022;16:00:00;24,0;62,2
04/08/2022;16:15:00;24,4;61,7
04/08/2022;16:30:00;24,3;61,7
04/08/2022;16:45:00;24,3;62,2
04/08/2022;17:00:00;24,2;62,6
04/08/2022;17:15:00;24,2;62,9
04/08/2022;17:30:00;24,2;63,1
04/08/2022;17:45:00;24,2;63,4
04/08/2022;18:00:00;24,2;63,6
04/08/2022;18:15:00;24,2;63,7
04/08/2022;18:30:00;24,2;63,9
04/08/2022;18:45:00;24,2;64,1
04/08/2022;19:00:00;24,2;64,2
04/08/2022;19:15:00;24,2;64,2
04/08/2022;19:30:00;24,2;64,3
04/08/2022;19:45:00;24,2;64,4
04/08/2022;20:00:00;24,2;64,5
04/08/2022;20:15:00;24,2;64,6
04/08/2022;20:30:00;24,2;64,7
04/08/2022;20:45:00;24,2;64,8
04/08/2022;21:00:00;24,2;64,8
04/08/2022;21:15:00;24,2;65,0
04/08/2022;21:30:00;24,2;65,0
04/08/2022;21:45:00;24,2;65,2
04/08/2022;22:00:00;24,2;65,2
04/08/2022;22:15:00;24,2;65,3
04/08/2022;22:30:00;24,2;65,4
04/08/2022;22:45:00;24,2;65,5
04/08/2022;23:00:00;24,2;65,7
04/08/2022;23:15:00;24,2;65,7
04/08/2022;23:30:00;24,2;65,7
04/08/2022;23:45:00;24,2;65,8
05/08/2022;00:00:00;24,2;65,9
05/08/2022;00:15:00;24,2;65,9
05/08/2022;00:30:00;24,3;66,1
05/08/2022;00:45:00;24,3;66,1
05/08/2022;01:00:00;24,3;66,1
05/08/2022;01:15:00;24,2;66,2
05/08/2022;01:30:00;24,3;66,3
05/08/2022;01:45:00;24,3;66,3
05/08/2022;02:00:00;24,3;66,4
05/08/2022;02:15:00;24,3;66,5
05/08/2022;02:30:00;24,3;###
05/08/2022;02:45:00;24,3;###
05/08/2022;03:00:00;24,3;###
05/08/2022;03:15:00;24,3;###
05/08/2022;03:30:00;24,3;###
05/08/2022;03:45:00;24,3;###
05/08/2022;04:00:00;24,3;66,8
05/08/2022;04:15:00;24,3;66,8
05/08/2022;04:30:00;24,3;66,8
05/08/2022;04:45:00;24,3;66,8
05/08/2022;05:00:00;24,3;66,8
05/08/2022;05:15:00;24,3;66,9
05/08/2022;05:30:00;24,3;66,8
05/08/2022;05:45:00;24,3;66,9
05/08/2022;06:00:00;24,3;66,9
05/08/2022;06:15:00;24,3;67,0
05/08/2022;06:30:00;24,3;67,0
05/08/2022;06:45:00;24,3;67,0
05/08/2022;07:00:00;24,3;67,0
05/08/2022;07:15:00;24,3;67,0
05/08/2022;07:30:00;24,3;67,0
05/08/2022;07:45:00;24,3;67,1
05/08/2022;08:00:00;24,3;67,1
05/08/2022;08:15:00;24,3;67,1
05/08/2022;08:30:00;24,3;67,2
05/08/2022;08:45:00;24,3;67,1
05/08/2022;09:00:00;24,3;67,0
05/08/2022;09:15:00;24,2;###
05/08/2022;09:30:00;23,8;63,6
05/08/2022;09:45:00;23,5;61,7
05/08/2022;10:00:00;23,4;60,6
05/08/2022;10:15:00;23,2;59,6
05/08/2022;10:30:00;23,2;59,4
05/08/2022;10:45:00;23,2;58,8
05/08/2022;11:00:00;23,2;58,2
05/08/2022;11:15:00;23,2;57,9
05/08/2022;11:30:00;23,2;57,5
05/08/2022;11:45:00;23,2;56,9
05/08/2022;12:00:00;23,1;56,5
05/08/2022;12:15:00;23,1;56,0
05/08/2022;12:30:00;23,1;55,8
05/08/2022;12:45:00;23,1;55,4
05/08/2022;13:00:00;23,1;55,3
05/08/2022;13:15:00;23,0;54,9
05/08/2022;13:30:00;23,0;54,7
05/08/2022;13:45:00;23,0;54,8
05/08/2022;14:00:00;23,0;55,0
05/08/2022;14:15:00;23,1;54,7
05/08/2022;14:30:00;23,0;54,5
05/08/2022;14:45:00;23,0;54,4
05/08/2022;15:00:00;23,0;53,9
05/08/2022;15:15:00;23,0;53,5
05/08/2022;15:30:00;22,9;53,3
05/08/2022;15:45:00;23,0;53,2
05/08/2022;16:00:00;22,9;53,5
