Localité;;"T18M3PR [°C]";"T18M3PR [%HR]"
"Groupe de points de mesure";;;
Zone;;;
"Limite inférieure";;15,0;15,0
09/08/2022;09:00:00;22,6;63,8
09/08/2022;09:15:00;22,2;58,2
09/08/2022;09:30:00;22,0;57,2
09/08/2022;09:45:00;22,0;57,6
09/08/2022;10:00:00;21,9;57,2
09/08/2022;10:15:00;21,9;58,0
09/08/2022;10:30:00;21,8;57,1
09/08/2022;10:45:00;21,8;56,4
09/08/2022;11:00:00;21,7;56,1
09/08/2022;11:15:00;21,7;56,4
09/08/2022;11:30:00;21,7;56,0
09/08/2022;11:45:00;21,7;56,2
09/08/2022;12:00:00;21,7;54,5
09/08/2022;12:15:00;21,6;53,3
09/08/2022;12:30:00;21,7;53,8
09/08/2022;12:45:00;21,6;53,4
09/08/2022;13:00:00;21,6;52,7
09/08/2022;13:15:00;21,6;53,0
09/08/2022;13:30:00;21,6;54,3
09/08/2022;13:45:00;21,6;52,9
09/08/2022;14:00:00;21,6;52,9
09/08/2022;14:15:00;21,6;53,0
09/08/2022;14:30:00;21,6;52,6
09/08/2022;14:45:00;21,6;52,2
09/08/2022;15:00:00;21,6;52,4
09/08/2022;15:15:00;21,6;52,5
09/08/2022;15:30:00;21,6;53,1
09/08/2022;15:45:00;21,6;51,8
09/08/2022;16:00:00;21,6;51,7
09/08/2022;16:15:00;21,6;53,2
09/08/2022;16:30:00;21,5;52,3
09/08/2022;16:45:00;21,5;51,8
09/08/2022;17:00:00;21,7;52,9
09/08/2022;17:15:00;21,9;53,7
09/08/2022;17:30:00;22,0;54,3
09/08/2022;17:45:00;22,0;54,8
09/08/2022;18:00:00;22,1;55,5
09/08/2022;18:15:00;22,1;56,6
09/08/2022;18:30:00;22,2;56,0
09/08/2022;18:45:00;22,2;56,5
09/08/2022;19:00:00;22,2;57,0
09/08/2022;19:15:00;22,2;57,5
09/08/2022;19:30:00;22,3;57,7
09/08/2022;19:45:00;22,3;58,3
09/08/2022;20:00:00;22,3;58,4
09/08/2022;20:15:00;22,3;59,1
09/08/2022;20:30:00;22,3;59,3
09/08/2022;20:45:00;22,3;59,0
09/08/2022;21:00:00;22,3;58,9
09/08/2022;21:15:00;22,3;59,1
09/08/2022;21:30:00;22,4;59,2
09/08/2022;21:45:00;22,4;59,9
09/08/2022;22:00:00;22,4;60,4
09/08/2022;22:15:00;22,4;60,7
09/08/2022;22:30:00;22,4;60,8
09/08/2022;22:45:00;22,4;60,8
09/08/2022;23:00:00;22,4;60,8
09/08/2022;23:15:00;22,4;60,7
09/08/2022;23:30:00;22,4;60,6
09/08/2022;23:45:00;22,4;60,4
10/08/2022;00:00:00;22,5;60,6
10/08/2022;00:15:00;22,5;60,4
10/08/2022;00:30:00;22,5;60,4
10/08/2022;00:45:00;22,5;60,3
10/08/2022;01:00:00;22,5;60,2
10/08/2022;01:15:00;22,5;60,2
10/08/2022;01:30:00;22,5;60,3
10/08/2022;01:45:00;22,5;60,1
10/08/2022;02:00:00;22,5;60,1
10/08/2022;02:15:00;22,5;60,1
10/08/2022;02:30:00;22,5;60,1
10/08/2022;02:45:00;22,5;60,0
10/08/2022;03:00:00;22,6;60,0
10/08/2022;03:15:00;22,6;60,1
10/08/2022;03:30:00;22,6;60,1
10/08/2022;03:45:00;22,6;60,1
10/08/2022;04:00:00;22,6;60,1
10/08/2022;04:15:00;22,6;60,1
10/08/2022;04:30:00;22,6;60,1
10/08/2022;04:45:00;22,6;60,1
10/08/2022;05:00:00;22,6;60,1
10/08/2022;05:15:00;22,6;60,2
10/08/2022;05:30:00;22,6;60,2
10/08/2022;05:45:00;22,6;60,2
10/08/2022;06:00:00;22,7;60,5
10/08/2022;06:15:00;22,6;60,9
10/08/2022;06:30:00;22,7;61,3
10/08/2022;06:45:00;22,7;61,0
10/08/2022;07:00:00;22,6;60,9
10/08/2022;07:15:00;22,7;61,0
10/08/2022;07:30:00;22,7;60,9
10/08/2022;07:45:00;22,7;60,6
10/08/2022;08:00:00;22,7;60,6
10/08/2022;08:15:00;22,7;60,6
10/08/2022;08:30:00;22,7;60,6
10/08/2022;08:45:00;22,7;60,6
10/08/2022;09:00:00;22,5;58,8
10/08/2022;09:15:00;22,2;55,9
10/08/2022;09:30:00;22,1;55,7
10/08/2022;09:45:00;22,0;55,6
10/08/2022;10:00:00;22,0;54,9
10/08/2022;10:15:00;22,0;55,1
10/08/2022;10:30:00;21,9;56,8
10/08/2022;10:45:00;21,9;57,8
10/08/2022;11:00:00;21,9;57,0
10/08/2022;11:15:00;21,9;57,4
10/08/2022;11:30:00;21,9;57,6
10/08/2022;11:45:00;21,8;57,0
10/08/2022;12:00:00;21,8;58,3
10/08/2022;12:15:00;21,8;56,4
10/08/2022;12:30:00;21,8;56,2
10/08/2022;12:45:00;21,7;55,5
10/08/2022;13:00:00;21,7;56,0
10/08/2022;13:15:00;21,7;55,5
10/08/2022;13:30:00;21,7;55,1
10/08/2022;13:45:00;21,7;55,5
10/08/2022;14:00:00;21,8;55,5
10/08/2022;14:15:00;21,7;54,5
10/08/2022;14:30:00;21,7;54,1
10/08/2022;14:45:00;21,7;54,3
10/08/2022;15:00:00;21,6;52,9
10/08/2022;15:15:00;21,6;53,6
10/08/2022;15:30:00;21,7;54,1
10/08/2022;15:45:00;21,6;53,2
10/08/2022;16:00:00;21,6;53,8
10/08/2022;16:15:00;21,6;53,0
10/08/2022;16:30:00;21,6;53,3
10/08/2022;16:45:00;21,6;52,6
10/08/2022;17:00:00;21,6;51,8
10/08/2022;17:15:00;21,6;51,9
10/08/2022;17:30:00;21,6;53,6
10/08/2022;17:45:00;21,7;52,5
10/08/2022;18:00:00;21,9;53,7
10/08/2022;18:15:00;22,0;54,6
10/08/2022;18:30:00;22,1;54,9
10/08/2022;18:45:00;22,1;55,3
10/08/2022;19:00:00;22,2;55,6
10/08/2022;19:15:00;22,2;56,0
10/08/2022;19:30:00;22,2;56,8
10/08/2022;19:45:00;22,3;57,3
10/08/2022;20:00:00;22,3;57,8
10/08/2022;20:15:00;22,3;57,9
10/08/2022;20:30:00;22,3;58,1
10/08/2022;20:45:00;22,3;58,5
10/08/2022;21:00:00;22,3;58,5
10/08/2022;21:15:00;22,4;58,6
10/08/2022;21:30:00;22,4;58,7
10/08/2022;21:45:00;22,4;58,8
10/08/2022;22:00:00;22,4;58,7
10/08/2022;22:15:00;22,4;58,9
10/08/2022;22:30:00;22,4;59,3
10/08/2022;22:45:00;22,4;59,0
10/08/2022;23:00:00;22,5;59,1
10/08/2022;23:15:00;22,5;59,2
10/08/2022;23:30:00;22,5;59,2
10/08/2022;23:45:00;22,5;59,3
11/08/2022;00:00:00;22,5;59,2
11/08/2022;00:15:00;22,5;59,2
11/08/2022;00:30:00;22,5;59,3
11/08/2022;00:45:00;22,5;59,4
11/08/2022;01:00:00;22,5;59,4
11/08/2022;01:15:00;22,5;59,4
11/08/2022;01:30:00;22,5;59,4
11/08/2022;01:45:00;22,6;59,5
11/08/2022;02:00:00;22,6;59,4
11/08/2022;02:15:00;22,6;59,6
11/08/2022;02:30:00;22,6;59,6
11/08/2022;02:45:00;22,6;59,7
11/08/2022;03:00:00;22,6;59,8
11/08/2022;03:15:00;22,6;59,9
11/08/2022;03:30:00;22,6;59,9
11/08/2022;03:45:00;22,6;60,1
11/08/2022;04:00:00;22,6;60,0
11/08/2022;04:15:00;22,6;60,1
11/08/2022;04:30:00;22,6;60,0
11/08/2022;04:45:00;22,7;60,1
11/08/2022;05:00:00;22,7;60,1
11/08/2022;05:15:00;22,6;60,1
11/08/2022;05:30:00;22,7;60,1
11/08/2022;05:45:00;22,7;59,9
11/08/2022;06:00:00;22,7;60,2
11/08/2022;06:15:00;22,7;60,4
11/08/2022;06:30:00;22,7;60,3
11/08/2022;06:45:00;22,7;60,3
11/08/2022;07:00:00;22,7;60,3
11/08/2022;07:15:00;22,7;60,4
11/08/2022;07:30:00;22,7;60,4
11/08/2022;07:45:00;22,7;60,4
11/08/2022;08:00:00;22,7;60,4
11/08/2022;08:15:00;22,7;60,4
11/08/2022;08:30:00;22,7;60,8
11/08/2022;08:45:00;22,8;60,8
11/08/2022;09:00:00;22,8;60,8
11/08/2022;09:15:00;22,5;59,2
11/08/2022;09:30:00;22,3;58,0
11/08/2022;09:45:00;22,3;57,3
11/08/2022;10:00:00;22,2;56,2
11/08/2022;10:15:00;22,1;57,8
11/08/2022;10:30:00;22,1;58,6
11/08/2022;10:45:00;22,0;58,1
11/08/2022;11:00:00;21,9;56,9
11/08/2022;11:15:00;22,0;56,3
11/08/2022;11:30:00;21,9;56,1
11/08/2022;11:45:00;21,9;55,1
11/08/2022;12:00:00;21,9;55,1
11/08/2022;12:15:00;21,8;54,5
11/08/2022;12:30:00;21,9;55,1
11/08/2022;12:45:00;22,0;55,6
11/08/2022;13:00:00;22,0;55,1
11/08/2022;13:15:00;21,9;54,2
11/08/2022;13:30:00;21,8;53,4
11/08/2022;13:45:00;21,8;52,6
11/08/2022;14:00:00;21,7;52,4
11/08/2022;14:15:00;21,7;52,6
11/08/2022;14:30:00;21,8;54,0
11/08/2022;14:45:00;21,8;53,0
11/08/2022;15:00:00;21,9;53,4
11/08/2022;15:15:00;21,9;53,9
11/08/2022;15:30:00;22,0;56,7
11/08/2022;15:45:00;22,1;57,7
11/08/2022;16:00:00;22,2;58,8
11/08/2022;16:15:00;22,1;57,4
11/08/2022;16:30:00;22,2;57,8
11/08/2022;16:45:00;22,1;54,5
11/08/2022;17:00:00;22,0;55,9
11/08/2022;17:15:00;22,0;55,0
11/08/2022;17:30:00;22,0;54,1
11/08/2022;17:45:00;21,9;54,1
11/08/2022;18:00:00;22,2;58,0
11/08/2022;18:15:00;22,3;58,4
11/08/2022;18:30:00;22,4;58,4
11/08/2022;18:45:00;22,5;58,5
11/08/2022;19:00:00;22,5;58,8
11/08/2022;19:15:00;22,5;59,0
11/08/2022;19:30:00;22,5;59,3
11/08/2022;19:45:00;22,5;59,4
11/08/2022;20:00:00;22,6;59,7
11/08/2022;20:15:00;22,6;59,9
11/08/2022;20:30:00;22,6;60,0
11/08/2022;20:45:00;22,6;60,1
11/08/2022;21:00:00;22,6;60,4
11/08/2022;21:15:00;22,6;60,4
11/08/2022;21:30:00;22,6;60,3
11/08/2022;21:45:00;22,6;60,6
11/08/2022;22:00:00;22,7;60,8
11/08/2022;22:15:00;22,7;60,8
11/08/2022;22:30:00;22,6;61,1
11/08/2022;22:45:00;22,7;61,2
11/08/2022;23:00:00;22,7;61,2
11/08/2022;23:15:00;22,7;61,5
11/08/2022;23:30:00;22,7;61,7
11/08/2022;23:45:00;22,7;61,7
12/08/2022;00:00:00;22,7;61,9
12/08/2022;00:15:00;22,7;62,1
12/08/2022;00:30:00;22,7;62,1
12/08/2022;00:45:00;22,7;62,1
12/08/2022;01:00:00;22,7;62,2
