Localité;;"T02M3RE [°C]";"T02M3RE [%HR]"
"Groupe de points de mesure";;;
Zone;;;
"Limite inférieure";;15,0;15,0
16/08/2022;23:45:00;24,1;62,2
17/08/2022;00:00:00;24,1;62,3
17/08/2022;00:15:00;24,1;62,4
17/08/2022;00:30:00;24,1;62,5
17/08/2022;00:45:00;24,2;62,6
17/08/2022;01:00:00;24,2;62,6
17/08/2022;01:15:00;24,1;62,7
17/08/2022;01:30:00;24,2;62,7
17/08/2022;01:45:00;24,2;62,8
17/08/2022;02:00:00;24,2;62,8
17/08/2022;02:15:00;24,2;62,9
17/08/2022;02:30:00;24,2;62,8
17/08/2022;02:45:00;24,2;62,9
17/08/2022;03:00:00;24,2;63,0
17/08/2022;03:15:00;24,2;63,1
17/08/2022;03:30:00;24,2;63,1
17/08/2022;03:45:00;24,2;63,1
17/08/2022;04:00:00;24,2;63,1
17/08/2022;04:15:00;24,2;63,2
17/08/2022;04:30:00;24,2;63,2
17/08/2022;04:45:00;24,2;63,2
17/08/2022;05:00:00;24,2;63,3
17/08/2022;05:15:00;24,2;63,3
17/08/2022;05:30:00;24,2;63,4
17/08/2022;05:45:00;24,2;63,4
17/08/2022;06:00:00;24,2;63,4
17/08/2022;06:15:00;24,2;63,5
17/08/2022;06:30:00;24,2;63,5
17/08/2022;06:45:00;24,2;63,5
17/08/2022;07:00:00;24,2;63,5
17/08/2022;07:15:00;24,2;63,6
17/08/2022;07:30:00;24,2;63,6
17/08/2022;07:45:00;24,2;63,7
17/08/2022;08:00:00;24,2;63,7
17/08/2022;08:15:00;24,2;63,7
17/08/2022;08:30:00;24,2;63,8
17/08/2022;08:45:00;24,2;63,8
17/08/2022;09:00:00;24,1;61,9
17/08/2022;09:15:00;23,8;59,3
17/08/2022;09:30:00;23,7;58,0
17/08/2022;09:45:00;23,7;57,2
17/08/2022;10:00:00;23,7;56,7
17/08/2022;10:15:00;23,6;55,4
17/08/2022;10:30:00;23,7;56,0
17/08/2022;10:45:00;23,7;55,4
17/08/2022;11:00:00;23,7;57,7
17/08/2022;11:15:00;23,8;58,5
17/08/2022;11:30:00;23,8;58,7
17/08/2022;11:45:00;23,8;59,9
17/08/2022;12:00:00;23,8;60,2
17/08/2022;12:15:00;23,8;59,9
17/08/2022;12:30:00;23,7;60,2
