Localité;;"T02M3RE [°C]";"T02M3RE [%HR]"
"Groupe de points de mesure";;;
Zone;;;
"Limite inférieure";;15,0;15,0
02/08/2022;18:45:00;24,0;56,2
02/08/2022;19:00:00;24,0;56,6
02/08/2022;19:15:00;24,1;57,1
02/08/2022;19:30:00;24,1;57,5
02/08/2022;19:45:00;24,1;58,1
02/08/2022;20:00:00;24,1;58,5
02/08/2022;20:15:00;24,2;58,8
02/08/2022;20:30:00;24,2;59,1
02/08/2022;20:45:00;24,2;59,4
02/08/2022;21:00:00;24,2;59,8
02/08/2022;21:15:00;24,2;59,9
02/08/2022;21:30:00;24,2;60,1
02/08/2022;21:45:00;24,2;60,3
02/08/2022;22:00:00;24,2;60,5
02/08/2022;22:15:00;24,2;60,6
02/08/2022;22:30:00;24,2;60,8
02/08/2022;22:45:00;24,2;61,0
02/08/2022;23:00:00;24,2;61,1
02/08/2022;23:15:00;24,2;61,2
02/08/2022;23:30:00;24,2;61,4
02/08/2022;23:45:00;24,2;61,5
03/08/2022;00:00:00;24,2;61,6
03/08/2022;00:15:00;24,2;61,8
03/08/2022;00:30:00;24,2;61,9
03/08/2022;00:45:00;24,2;62,0
03/08/2022;01:00:00;24,2;62,1
03/08/2022;01:15:00;24,3;62,2
03/08/2022;01:30:00;24,2;62,2
03/08/2022;01:45:00;24,2;62,3
03/08/2022;02:00:00;24,3;62,4
03/08/2022;02:15:00;24,2;62,5
03/08/2022;02:30:00;24,2;62,6
03/08/2022;02:45:00;24,2;62,7
03/08/2022;03:00:00;24,2;62,7
03/08/2022;03:15:00;24,2;62,9
03/08/2022;03:30:00;24,2;62,9
03/08/2022;03:45:00;24,3;63,0
03/08/2022;04:00:00;24,3;63,0
03/08/2022;04:15:00;24,3;63,1
03/08/2022;04:30:00;24,3;63,2
03/08/2022;04:45:00;24,3;63,3
03/08/2022;05:00:00;24,3;63,3
03/08/2022;05:15:00;24,3;63,4
03/08/2022;05:30:00;24,3;63,4
03/08/2022;05:45:00;24,3;63,4
03/08/2022;06:00:00;24,3;63,6
03/08/2022;06:15:00;24,3;63,7
03/08/2022;06:30:00;24,3;63,8
03/08/2022;06:45:00;24,3;63,9
03/08/2022;07:00:00;24,3;63,9
03/08/2022;07:15:00;24,3;64,0
03/08/2022;07:30:00;24,3;64,0
03/08/2022;07:45:00;24,3;64,2
03/08/2022;08:00:00;24,3;64,1
03/08/2022;08:15:00;24,3;64,2
03/08/2022;08:30:00;24,3;64,2
03/08/2022;08:45:00;24,3;64,4
03/08/2022;09:00:00;24,3;64,4
03/08/2022;09:15:00;24,3;64,5
03/08/2022;09:30:00;24,1;61,9
03/08/2022;09:45:00;24,0;59,9
03/08/2022;10:00:00;23,9;58,3
03/08/2022;10:15:00;23,8;57,0
03/08/2022;10:30:00;23,8;56,3
03/08/2022;10:45:00;23,8;55,2
03/08/2022;11:00:00;23,8;56,3
03/08/2022;11:15:00;23,9;57,6
03/08/2022;11:30:00;23,9;57,7
03/08/2022;11:45:00;23,8;60,3
03/08/2022;12:00:00;23,9;62,5
03/08/2022;12:15:00;23,9;62,1
03/08/2022;12:30:00;23,8;62,7
03/08/2022;12:45:00;23,8;62,6
03/08/2022;13:00:00;23,8;62,5
03/08/2022;13:15:00;23,8;65,0
03/08/2022;13:30:00;23,9;62,6
03/08/2022;13:45:00;23,9;63,5
03/08/2022;14:00:00;24,0;63,1
03/08/2022;14:15:00;24,1;63,5
03/08/2022;14:30:00;24,5;65,4
03/08/2022;14:45:00;24,4;64,3
03/08/2022;15:00:00;24,5;63,7
03/08/2022;15:15:00;24,4;62,8
03/08/2022;15:30:00;24,4;63,8
03/08/2022;15:45:00;24,4;62,7
03/08/2022;16:00:00;24,6;62,7
03/08/2022;16:15:00;24,5;61,1
03/08/2022;16:30:00;24,4;60,9
03/08/2022;16:45:00;24,4;59,8
03/08/2022;17:00:00;24,3;58,9
03/08/2022;17:15:00;24,3;59,5
03/08/2022;17:30:00;24,4;60,4
03/08/2022;17:45:00;24,4;60,9
03/08/2022;18:00:00;24,5;61,3
03/08/2022;18:15:00;24,5;61,7
03/08/2022;18:30:00;24,6;62,0
03/08/2022;18:45:00;24,6;62,4
03/08/2022;19:00:00;24,6;62,5
03/08/2022;19:15:00;24,6;62,8
03/08/2022;19:30:00;24,6;63,0
03/08/2022;19:45:00;24,6;63,2
03/08/2022;20:00:00;24,6;63,3
03/08/2022;20:15:00;24,6;63,4
03/08/2022;20:30:00;24,6;63,6
03/08/2022;20:45:00;24,6;63,7
03/08/2022;21:00:00;24,6;63,8
03/08/2022;21:15:00;24,6;64,0
03/08/2022;21:30:00;24,6;64,0
03/08/2022;21:45:00;24,6;64,1
03/08/2022;22:00:00;24,6;64,2
03/08/2022;22:15:00;24,7;64,3
03/08/2022;22:30:00;24,6;64,5
03/08/2022;22:45:00;24,6;64,6
03/08/2022;23:00:00;24,6;64,7
03/08/2022;23:15:00;24,6;64,9
03/08/2022;23:30:00;24,6;64,8
03/08/2022;23:45:00;24,6;64,9
04/08/2022;00:00:00;24,6;65,0
04/08/2022;00:15:00;24,6;65,1
04/08/2022;00:30:00;24,6;65,0
04/08/2022;00:45:00;24,6;65,1
04/08/2022;01:00:00;24,6;65,2
04/08/2022;01:15:00;24,6;65,4
04/08/2022;01:30:00;24,6;65,4
04/08/2022;01:45:00;24,6;65,6
04/08/2022;02:00:00;24,6;65,7
04/08/2022;02:15:00;24,6;65,7
04/08/2022;02:30:00;24,6;65,8
04/08/2022;02:45:00;24,6;65,8
04/08/2022;03:00:00;24,6;65,8
04/08/2022;03:15:00;24,6;65,8
04/08/2022;03:30:00;24,6;65,8
04/08/2022;03:45:00;24,6;65,8
04/08/2022;04:00:00;24,6;65,9
04/08/2022;04:15:00;24,6;66,0
04/08/2022;04:30:00;24,6;66,0
04/08/2022;04:45:00;24,6;66,1
04/08/2022;05:00:00;24,6;66,2
04/08/2022;05:15:00;24,6;66,2
04/08/2022;05:30:00;24,6;66,3
04/08/2022;05:45:00;24,6;66,4
04/08/2022;06:00:00;24,6;66,4
04/08/2022;06:15:00;24,6;66,4
04/08/2022;06:30:00;24,6;66,5
04/08/2022;06:45:00;24,6;66,5
04/08/2022;07:00:00;24,5;66,6
04/08/2022;07:15:00;24,5;66,6
04/08/2022;07:30:00;24,5;66,6
04/08/2022;07:45:00;24,4;65,3
04/08/2022;08:00:00;24,2;62,5
04/08/2022;08:15:00;24,1;60,9
04/08/2022;08:30:00;24,0;59,7
04/08/2022;08:45:00;23,9;58,1
04/08/2022;09:00:00;23,9;58,2
04/08/2022;09:15:00;24,1;59,4
04/08/2022;09:30:00;24,2;60,4
04/08/2022;09:45:00;24,3;61,1
04/08/2022;10:00:00;24,3;61,5
04/08/2022;10:15:00;24,4;62,0
04/08/2022;10:30:00;24,4;62,3
04/08/2022;10:45:00;24,4;62,7
04/08/2022;11:00:00;24,5;62,9
04/08/2022;11:15:00;24,4;62,2
04/08/2022;11:30:00;24,2;60,3
04/08/2022;11:45:00;24,3;60,3
04/08/2022;12:00:00;24,5;59,9
04/08/2022;12:15:00;24,7;59,9
04/08/2022;12:30:00;24,7;59,8
04/08/2022;12:45:00;24,8;61,6
04/08/2022;13:00:00;24,7;59,8
04/08/2022;13:15:00;24,7;59,4
04/08/2022;13:30:00;24,7;58,7
04/08/2022;13:45:00;24,7;58,5
04/08/2022;14:00:00;24,7;57,9
04/08/2022;14:15:00;24,8;59,6
04/08/2022;14:30:00;24,9;59,7
04/08/2022;14:45:00;24,8;58,8
04/08/2022;15:00:00;25,0;58,8
04/08/2022;15:15:00;25,3;56,9
04/08/2022;15:30:00;24,9;57,1
04/08/2022;15:45:00;24,8;57,9
04/08/2022;16:00:00;25,0;59,0
04/08/2022;16:15:00;25,3;58,9
04/08/2022;16:30:00;25,1;61,0
04/08/2022;16:42:20;25,0;61,4
04/08/2022;16:45:00;25,0;61,4
04/08/2022;17:00:00;24,9;62,1
04/08/2022;17:15:00;24,9;62,5
04/08/2022;17:30:00;24,9;62,4
04/08/2022;17:45:00;24,9;62,6
04/08/2022;18:00:00;24,9;62,7
04/08/2022;18:15:00;24,9;62,7
04/08/2022;18:30:00;24,9;62,9
04/08/2022;18:45:00;24,9;63,0
04/08/2022;19:00:00;24,9;63,2
04/08/2022;19:15:00;24,9;63,3
04/08/2022;19:30:00;24,9;63,5
04/08/2022;19:45:00;24,9;63,5
04/08/2022;20:00:00;24,9;63,6
04/08/2022;20:15:00;24,9;63,8
04/08/2022;20:30:00;24,9;63,8
04/08/2022;20:45:00;24,9;63,8
04/08/2022;21:00:00;24,9;63,8
04/08/2022;21:15:00;24,9;64,0
04/08/2022;21:30:00;24,9;64,0
04/08/2022;21:45:00;24,9;64,1
04/08/2022;22:00:00;24,9;64,1
04/08/2022;22:15:00;24,9;64,1
04/08/2022;22:30:00;24,9;64,2
04/08/2022;22:45:00;24,9;64,2
04/08/2022;23:00:00;24,9;64,3
04/08/2022;23:15:00;24,9;64,3
04/08/2022;23:30:00;24,9;64,4
04/08/2022;23:45:00;24,9;64,5
05/08/2022;00:00:00;24,9;64,5
05/08/2022;00:15:00;24,9;64,6
05/08/2022;00:30:00;24,9;64,6
05/08/2022;00:45:00;24,9;64,7
05/08/2022;01:00:00;24,9;64,7
05/08/2022;01:15:00;24,9;64,8
05/08/2022;01:30:00;24,9;64,9
05/08/2022;01:45:00;24,9;64,8
05/08/2022;02:00:00;24,9;64,9
05/08/2022;02:15:00;24,9;64,9
05/08/2022;02:30:00;24,9;65,0
05/08/2022;02:45:00;24,9;65,1
05/08/2022;03:00:00;24,9;65,1
05/08/2022;03:15:00;24,9;65,2
05/08/2022;03:30:00;24,9;65,2
05/08/2022;03:45:00;24,9;65,3
05/08/2022;04:00:00;24,9;65,4
05/08/2022;04:15:00;24,9;65,4
05/08/2022;04:30:00;24,9;65,5
05/08/2022;04:45:00;24,9;65,5
05/08/2022;05:00:00;24,9;65,6
05/08/2022;05:15:00;24,9;65,7
05/08/2022;05:30:00;24,9;65,6
05/08/2022;05:45:00;24,9;65,6
05/08/2022;06:00:00;24,9;65,7
05/08/2022;06:15:00;24,9;65,7
05/08/2022;06:30:00;24,9;65,7
05/08/2022;06:45:00;24,9;65,7
05/08/2022;07:00:00;24,9;65,7
05/08/2022;07:15:00;24,9;65,7
05/08/2022;07:30:00;24,9;65,7
05/08/2022;07:45:00;24,9;65,8
05/08/2022;08:00:00;24,9;65,8
05/08/2022;08:15:00;24,9;65,8
05/08/2022;08:30:00;24,9;65,9
05/08/2022;08:45:00;24,9;66,0
05/08/2022;09:00:00;24,9;65,8
05/08/2022;09:15:00;24,8;65,0
05/08/2022;09:30:00;24,5;61,6
05/08/2022;09:45:00;24,3;59,6
05/08/2022;10:00:00;24,1;58,4
05/08/2022;10:15:00;24,0;57,3
05/08/2022;10:30:00;24,1;57,3
05/08/2022;10:45:00;24,1;56,9
05/08/2022;11:00:00;24,1;56,2
05/08/2022;11:15:00;24,1;55,7
05/08/2022;11:30:00;24,0;55,9
05/08/2022;11:45:00;24,0;54,6
05/08/2022;12:00:00;24,0;54,5
05/08/2022;12:15:00;24,0;53,9
05/08/2022;12:30:00;24,0;53,8
05/08/2022;12:45:00;23,9;53,5
05/08/2022;13:00:00;23,9;53,2
05/08/2022;13:15:00;23,8;52,9
05/08/2022;13:30:00;23,8;52,6
05/08/2022;13:45:00;23,8;52,8
05/08/2022;14:00:00;23,8;52,7
05/08/2022;14:15:00;23,8;52,9
05/08/2022;14:30:00;23,8;52,6
05/08/2022;14:45:00;23,8;52,6
05/08/2022;15:00:00;23,7;51,8
05/08/2022;15:15:00;23,7;51,6
05/08/2022;15:30:00;23,7;51,4
05/08/2022;15:45:00;23,7;51,4
05/08/2022;16:00:00;23,7;51,8
05/08/2022;16:15:00;23,7;52,0
05/08/2022;16:30:00;23,7;52,1
05/08/2022;16:45:00;23,7;52,7
05/08/2022;17:00:00;23,7;51,8
05/08/2022;17:15:00;23,6;51,0
05/08/2022;17:30:00;23,6;50,9
05/08/2022;17:45:00;23,6;50,6
05/08/2022;18:00:00;23,6;50,7
05/08/2022;18:15:00;23,6;50,7
05/08/2022;18:30:00;23,6;50,8
05/08/2022;18:45:00;23,5;50,3
05/08/2022;19:00:00;23,7;51,3
05/08/2022;19:15:00;23,9;52,3
05/08/2022;19:30:00;24,0;52,9
05/08/2022;19:45:00;24,0;53,4
05/08/2022;20:00:00;24,1;53,8
05/08/2022;20:15:00;24,1;54,2
05/08/2022;20:30:00;24,1;54,5
05/08/2022;20:45:00;24,2;54,9
05/08/2022;21:00:00;24,2;55,1
05/08/2022;21:15:00;24,2;55,4
05/08/2022;21:30:00;24,2;55,7
05/08/2022;21:45:00;24,2;55,9
05/08/2022;22:00:00;24,2;56,1
05/08/2022;22:15:00;24,3;56,4
05/08/2022;22:30:00;24,3;56,6
05/08/2022;22:45:00;24,3;56,8
05/08/2022;23:00:00;24,3;57,1
05/08/2022;23:15:00;24,3;57,2
05/08/2022;23:30:00;24,3;57,5
05/08/2022;23:45:00;24,3;57,7
06/08/2022;00:00:00;24,3;57,9
06/08/2022;00:15:00;24,3;58,1
06/08/2022;00:30:00;24,3;58,2
06/08/2022;00:45:00;24,3;58,4
06/08/2022;01:00:00;24,3;58,6
06/08/2022;01:15:00;24,3;58,7
06/08/2022;01:30:00;24,3;58,8
06/08/2022;01:45:00;24,3;59,1
06/08/2022;02:00:00;24,3;59,2
06/08/2022;02:15:00;24,3;59,3
06/08/2022;02:30:00;24,3;59,5
06/08/2022;02:45:00;24,3;59,6
06/08/2022;03:00:00;24,3;59,9
06/08/2022;03:15:00;24,3;60,1
06/08/2022;03:30:00;24,3;60,1
06/08/2022;03:45:00;24,3;60,2
06/08/2022;04:00:00;24,3;60,3
06/08/2022;04:15:00;24,3;60,5
06/08/2022;04:30:00;24,3;60,6
06/08/2022;04:45:00;24,3;60,6
06/08/2022;05:00:00;24,3;60,7
06/08/2022;05:15:00;24,3;60,6
06/08/2022;05:30:00;24,3;60,7
06/08/2022;05:45:00;24,3;60,6
06/08/2022;06:00:00;24,3;60,5
06/08/2022;06:15:00;24,3;60,7
06/08/2022;06:30:00;24,3;60,8
06/08/2022;06:45:00;24,3;60,8
06/08/2022;07:00:00;24,3;60,9
06/08/2022;07:15:00;24,3;60,9
06/08/2022;07:30:00;24,3;61,0
06/08/2022;07:45:00;24,3;61,1
06/08/2022;08:00:00;24,3;61,0
06/08/2022;08:15:00;24,3;61,1
06/08/2022;08:30:00;24,3;61,1
06/08/2022;08:45:00;24,3;61,2
06/08/2022;09:00:00;24,3;61,3
06/08/2022;09:15:00;24,3;61,3
06/08/2022;09:30:00;24,3;61,4
06/08/2022;09:45:00;24,0;59,0
06/08/2022;10:00:00;23,7;56,3
06/08/2022;10:15:00;23,6;54,6
06/08/2022;10:30:00;23,5;53,2
06/08/2022;10:45:00;23,4;52,2
06/08/2022;11:00:00;23,3;52,0
06/08/2022;11:15:00;23,3;51,6
06/08/2022;11:30:00;23,3;51,4
06/08/2022;11:45:00;23,3;50,4
06/08/2022;12:00:00;23,3;51,0
06/08/2022;12:15:00;23,3;51,4
06/08/2022;12:30:00;23,2;50,2
06/08/2022;12:45:00;23,2;50,7
06/08/2022;13:00:00;23,2;50,2
06/08/2022;13:15:00;23,2;50,1
06/08/2022;13:30:00;23,3;51,3
06/08/2022;13:45:00;23,3;51,2
06/08/2022;14:00:00;23,3;51,3
06/08/2022;14:15:00;23,4;51,6
06/08/2022;14:30:00;23,4;51,6
06/08/2022;14:45:00;23,4;51,3
06/08/2022;15:00:00;23,4;51,2
06/08/2022;15:15:00;23,4;50,9
06/08/2022;15:30:00;23,4;51,0
06/08/2022;15:45:00;23,5;50,4
06/08/2022;16:00:00;23,4;50,2
06/08/2022;16:15:00;23,4;50,2
06/08/2022;16:30:00;23,5;50,4
06/08/2022;16:45:00;23,6;51,3
06/08/2022;17:00:00;23,8;51,9
06/08/2022;17:15:00;23,8;52,4
06/08/2022;17:30:00;23,9;52,9
06/08/2022;17:45:00;23,9;53,3
06/08/2022;18:00:00;23,9;53,6
06/08/2022;18:15:00;23,9;53,9
06/08/2022;18:30:00;24,0;54,2
06/08/2022;18:45:00;24,0;54,4
06/08/2022;19:00:00;24,0;54,7
06/08/2022;19:15:00;24,0;55,0
06/08/2022;19:30:00;24,0;55,1
06/08/2022;19:45:00;24,0;55,3
06/08/2022;20:00:00;24,0;55,6
06/08/2022;20:15:00;24,1;55,7
06/08/2022;20:30:00;24,1;55,9
06/08/2022;20:45:00;24,1;56,0
06/08/2022;21:00:00;24,1;56,2
06/08/2022;21:15:00;24,1;56,3
06/08/2022;21:30:00;24,1;56,4
06/08/2022;21:45:00;24,1;56,5
06/08/2022;22:00:00;24,1;56,7
06/08/2022;22:15:00;24,1;56,9
06/08/2022;22:30:00;24,1;56,9
06/08/2022;22:45:00;24,2;57,1
06/08/2022;23:00:00;24,2;57,2
06/08/2022;23:15:00;24,2;57,2
06/08/2022;23:30:00;24,2;57,4
06/08/2022;23:45:00;24,2;57,5
07/08/2022;00:00:00;24,2;57,6
07/08/2022;00:15:00;24,2;57,8
07/08/2022;00:30:00;24,2;57,9
07/08/2022;00:45:00;24,2;58,0
07/08/2022;01:00:00;24,2;58,1
07/08/2022;01:15:00;24,2;58,2
07/08/2022;01:30:00;24,2;58,3
07/08/2022;01:45:00;24,2;58,5
07/08/2022;02:00:00;24,2;58,6
07/08/2022;02:15:00;24,2;58,7
07/08/2022;02:30:00;24,2;58,8
07/08/2022;02:45:00;24,2;59,0
07/08/2022;03:00:00;24,2;59,1
07/08/2022;03:15:00;24,2;59,2
07/08/2022;03:30:00;24,2;59,4
07/08/2022;03:45:00;24,2;59,5
07/08/2022;04:00:00;24,2;59,8
07/08/2022;04:15:00;24,2;59,8
07/08/2022;04:30:00;24,2;59,8
07/08/2022;04:45:00;24,2;60,0
07/08/2022;05:00:00;24,2;60,0
07/08/2022;05:15:00;24,2;60,2
07/08/2022;05:30:00;24,2;60,3
07/08/2022;05:45:00;24,2;60,6
07/08/2022;06:00:00;24,2;60,8
07/08/2022;06:15:00;24,2;61,0
07/08/2022;06:30:00;24,2;61,1
07/08/2022;06:45:00;24,2;61,2
07/08/2022;07:00:00;24,2;61,3
07/08/2022;07:15:00;24,2;61,3
07/08/2022;07:30:00;24,2;61,4
07/08/2022;07:45:00;24,2;61,3
07/08/2022;08:00:00;24,2;61,2
07/08/2022;08:15:00;24,2;61,2
07/08/2022;08:30:00;24,2;61,1
07/08/2022;08:45:00;24,2;61,1
07/08/2022;09:00:00;24,2;60,9
07/08/2022;09:15:00;24,2;60,9
07/08/2022;09:30:00;24,2;61,0
07/08/2022;09:45:00;24,2;61,1
07/08/2022;10:00:00;24,2;61,0
07/08/2022;10:15:00;24,2;61,1
07/08/2022;10:30:00;24,2;61,4
07/08/2022;10:45:00;23,9;58,8
07/08/2022;11:00:00;23,7;56,5
07/08/2022;11:15:00;23,5;55,2
07/08/2022;11:30:00;23,4;54,1
07/08/2022;11:45:00;23,4;53,2
07/08/2022;12:00:00;23,3;52,5
07/08/2022;12:15:00;23,3;51,7
07/08/2022;12:30:00;23,2;51,2
07/08/2022;12:45:00;23,2;50,8
07/08/2022;13:00:00;23,2;50,6
07/08/2022;13:15:00;23,1;50,2
07/08/2022;13:30:00;23,1;50,2
07/08/2022;13:45:00;23,1;49,9
07/08/2022;14:00:00;23,1;49,7
07/08/2022;14:15:00;23,1;49,7
07/08/2022;14:30:00;23,1;49,6
07/08/2022;14:45:00;23,1;49,4
07/08/2022;15:00:00;23,0;49,2
07/08/2022;15:15:00;23,0;48,9
07/08/2022;15:30:00;23,0;48,7
07/08/2022;15:45:00;23,0;48,5
07/08/2022;16:00:00;23,0;48,4
07/08/2022;16:15:00;23,0;48,2
07/08/2022;16:30:00;23,0;48,5
07/08/2022;16:45:00;23,3;49,7
07/08/2022;17:00:00;23,4;50,6
07/08/2022;17:15:00;23,5;51,4
07/08/2022;17:30:00;23,6;52,0
07/08/2022;17:45:00;23,7;52,5
07/08/2022;18:00:00;23,7;52,9
07/08/2022;18:15:00;23,8;53,2
07/08/2022;18:30:00;23,8;53,5
07/08/2022;18:45:00;23,8;53,9
07/08/2022;19:00:00;23,8;54,1
07/08/2022;19:15:00;23,9;54,4
07/08/2022;19:30:00;23,9;54,7
07/08/2022;19:45:00;23,9;55,0
07/08/2022;20:00:00;23,9;55,2
07/08/2022;20:15:00;24,0;55,4
07/08/2022;20:30:00;23,9;55,6
07/08/2022;20:45:00;24,0;55,8
07/08/2022;21:00:00;24,0;55,8
07/08/2022;21:15:00;24,0;56,0
07/08/2022;21:30:00;24,0;56,1
07/08/2022;21:45:00;24,0;56,2
07/08/2022;22:00:00;24,0;56,3
07/08/2022;22:15:00;24,0;56,5
07/08/2022;22:30:00;24,0;56,6
07/08/2022;22:45:00;24,0;56,7
07/08/2022;23:00:00;24,0;56,8
07/08/2022;23:15:00;24,0;57,0
07/08/2022;23:30:00;24,1;57,1
07/08/2022;23:45:00;24,1;57,1
08/08/2022;00:00:00;24,1;57,3
08/08/2022;00:15:00;24,1;57,4
08/08/2022;00:30:00;24,1;57,5
08/08/2022;00:45:00;24,1;57,6
08/08/2022;01:00:00;24,1;57,7
08/08/2022;01:15:00;24,1;57,8
08/08/2022;01:30:00;24,1;58,0
08/08/2022;01:45:00;24,1;58,1
08/08/2022;02:00:00;24,1;58,1
08/08/2022;02:15:00;24,1;58,2
08/08/2022;02:30:00;24,1;58,3
08/08/2022;02:45:00;24,1;58,4
08/08/2022;03:00:00;24,1;58,5
08/08/2022;03:15:00;24,1;58,6
08/08/2022;03:30:00;24,1;58,7
08/08/2022;03:45:00;24,1;58,8
08/08/2022;04:00:00;24,1;58,9
08/08/2022;04:15:00;24,1;59,0
08/08/2022;04:30:00;24,1;59,1
08/08/2022;04:45:00;24,1;59,2
08/08/2022;05:00:00;24,1;59,3
08/08/2022;05:15:00;24,1;59,4
08/08/2022;05:30:00;24,1;59,5
08/08/2022;05:45:00;24,1;59,6
08/08/2022;06:00:00;24,1;59,8
08/08/2022;06:15:00;24,1;59,9
08/08/2022;06:30:00;24,1;60,0
08/08/2022;06:45:00;24,1;60,0
08/08/2022;07:00:00;24,1;60,0
08/08/2022;07:15:00;24,1;60,2
08/08/2022;07:30:00;24,1;60,3
08/08/2022;07:45:00;24,1;60,0
08/08/2022;08:00:00;23,7;56,7
08/08/2022;08:15:00;23,5;54,8
08/08/2022;08:30:00;23,4;53,6
08/08/2022;08:45:00;23,3;52,5
08/08/2022;09:00:00;23,2;51,8
08/08/2022;09:15:00;23,2;51,3
08/08/2022;09:30:00;23,2;51,3
08/08/2022;09:45:00;23,2;51,1
08/08/2022;10:00:00;23,2;51,2
08/08/2022;10:15:00;23,3;50,9
08/08/2022;10:30:00;23,3;51,4
08/08/2022;10:45:00;23,3;51,1
08/08/2022;11:00:00;23,3;50,7
08/08/2022;11:15:00;23,3;51,1
08/08/2022;11:30:00;23,3;51,2
08/08/2022;11:45:00;23,4;57,1
08/08/2022;12:00:00;23,4;59,3
08/08/2022;12:15:00;23,4;60,0
08/08/2022;12:30:00;23,4;61,4
08/08/2022;12:45:00;23,4;60,9
08/08/2022;13:00:00;23,4;60,8
08/08/2022;13:15:00;23,4;60,7
08/08/2022;13:30:00;23,4;60,6
08/08/2022;13:45:00;23,4;60,5
08/08/2022;14:00:00;23,4;60,3
08/08/2022;14:15:00;23,3;60,1
08/08/2022;14:30:00;23,3;60,1
08/08/2022;14:45:00;23,3;59,7
08/08/2022;15:00:00;23,3;59,9
08/08/2022;15:15:00;23,6;59,5
08/08/2022;15:30:00;24,0;59,8
08/08/2022;15:45:00;24,0;59,1
08/08/2022;16:00:00;24,1;60,3
08/08/2022;16:15:00;24,2;60,4
08/08/2022;16:30:00;23,8;60,3
08/08/2022;16:45:00;23,6;58,9
08/08/2022;17:00:00;23,4;57,6
08/08/2022;17:15:00;23,2;56,8
08/08/2022;17:30:00;23,3;58,3
08/08/2022;17:45:00;23,6;59,4
08/08/2022;18:00:00;23,7;59,8
08/08/2022;18:15:00;23,7;60,0
08/08/2022;18:30:00;23,8;60,2
08/08/2022;18:45:00;23,8;60,5
08/08/2022;19:00:00;23,8;60,8
08/08/2022;19:15:00;23,9;61,0
08/08/2022;19:30:00;23,9;61,3
08/08/2022;19:45:00;23,9;61,4
08/08/2022;20:00:00;23,9;61,6
08/08/2022;20:15:00;23,9;61,8
08/08/2022;20:30:00;23,9;62,0
08/08/2022;20:45:00;23,9;62,2
08/08/2022;21:00:00;23,9;62,3
08/08/2022;21:15:00;24,0;62,5
08/08/2022;21:30:00;24,0;62,6
08/08/2022;21:45:00;24,0;62,7
08/08/2022;22:00:00;24,0;62,8
08/08/2022;22:15:00;24,0;62,8
08/08/2022;22:30:00;24,0;62,9
08/08/2022;22:45:00;24,0;63,1
08/08/2022;23:00:00;24,0;63,2
08/08/2022;23:15:00;24,0;63,1
08/08/2022;23:30:00;24,0;63,1
08/08/2022;23:45:00;24,0;63,1
09/08/2022;00:00:00;24,0;63,2
09/08/2022;00:15:00;24,0;63,4
09/08/2022;00:30:00;24,0;63,5
09/08/2022;00:45:00;24,0;63,7
09/08/2022;01:00:00;24,0;63,7
09/08/2022;01:15:00;24,0;63,8
09/08/2022;01:30:00;24,0;63,9
09/08/2022;01:45:00;24,0;63,9
09/08/2022;02:00:00;24,0;63,8
09/08/2022;02:15:00;24,0;63,8
09/08/2022;02:30:00;24,0;63,8
09/08/2022;02:45:00;24,0;63,9
09/08/2022;03:00:00;24,0;63,9
09/08/2022;03:15:00;24,0;63,8
09/08/2022;03:30:00;24,0;63,8
09/08/2022;03:45:00;24,0;63,8
09/08/2022;04:00:00;24,0;64,0
09/08/2022;04:15:00;24,0;63,8
09/08/2022;04:30:00;24,0;63,8
09/08/2022;04:45:00;24,0;64,0
09/08/2022;05:00:00;24,0;64,0
09/08/2022;05:15:00;24,0;64,1
09/08/2022;05:30:00;24,0;64,0
09/08/2022;05:45:00;24,0;64,0
09/08/2022;06:00:00;24,0;63,9
09/08/2022;06:15:00;24,0;64,1
09/08/2022;06:30:00;24,0;64,1
09/08/2022;06:45:00;24,0;63,9
09/08/2022;07:00:00;24,0;63,9
09/08/2022;07:15:00;24,0;64,0
09/08/2022;07:30:00;24,1;64,0
09/08/2022;07:45:00;24,0;64,1
09/08/2022;08:00:00;24,0;64,1
09/08/2022;08:15:00;24,0;64,2
09/08/2022;08:30:00;24,0;64,2
09/08/2022;08:45:00;24,0;64,2
09/08/2022;09:00:00;24,0;64,7
09/08/2022;09:15:00;23,8;61,5
09/08/2022;09:30:00;23,5;59,1
09/08/2022;09:45:00;23,5;63,5
09/08/2022;10:00:00;23,6;66,0
09/08/2022;10:00:35;23,6;64,5
09/08/2022;10:15:00;23,6;63,6
09/08/2022;10:30:00;23,5;58,4
09/08/2022;10:45:00;23,3;56,7
09/08/2022;11:00:00;23,2;56,0
09/08/2022;11:15:00;23,2;56,0
09/08/2022;11:30:00;23,2;55,2
09/08/2022;11:45:00;23,2;54,8
09/08/2022;12:00:00;23,1;54,6
09/08/2022;12:15:00;23,2;54,1
09/08/2022;12:30:00;23,1;53,8
09/08/2022;12:45:00;23,2;53,7
09/08/2022;13:00:00;23,1;52,9
09/08/2022;13:15:00;23,1;52,9
09/08/2022;13:30:00;23,1;53,4
09/08/2022;13:45:00;23,1;52,2
09/08/2022;14:00:00;23,1;51,7
09/08/2022;14:15:00;23,1;51,4
09/08/2022;14:30:00;23,1;51,4
09/08/2022;14:45:00;23,1;51,2
09/08/2022;15:00:00;23,0;51,0
09/08/2022;15:15:00;23,0;50,7
09/08/2022;15:30:00;23,0;50,8
09/08/2022;15:45:00;23,0;50,3
